법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
인창동,주공6,49.67,28000,1996,2017-05-20,15,장자호수공원역,개통 전
인창동,주공4-1,58.14,28700,1996,2017-05-15,7,장자호수공원역,개통 전
인창동,삼보,90.18,41000,1996,2017-05-12,5,장자호수공원역,개통 전
인창동,주공2,49.95,26000,1997,2017-05-17,6,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,35800,2001,2017-05-13,2,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,40700,2001,2017-05-16,21,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,37500,2001,2017-05-19,3,장자호수공원역,개통 전
인창동,주공2,49.95,24300,1997,2017-05-11,2,장자호수공원역,개통 전
교문동,구리(한양),60.44,30600,1994,2017-05-27,4,장자호수공원역,개통 전
교문동,한가람아파트,62.01,33000,1994,2017-05-15,7,장자호수공원역,개통 전
인창동,삼보,101.94,42700,1996,2017-05-01,11,장자호수공원역,개통 전
교문동,덕현,62.1,29000,1993,2017-05-10,9,장자호수공원역,개통 전
인창동,주공2,84.99,34150,1997,2017-05-16,1,장자호수공원역,개통 전
교문동,구리두산,59.99,33950,1991,2017-05-15,2,장자호수공원역,개통 전
인창동,주공1,59.76,29500,1996,2017-05-29,18,장자호수공원역,개통 전
교문동,덕현,101.86,42000,1993,2017-05-17,4,장자호수공원역,개통 전
수택동,구리태영데시앙,84.86,44650,2014,2017-05-06,6,장자호수공원역,개통 전
토평동,토평마을 e편한세상,84.599,51800,2001,2017-05-12,21,장자호수공원역,개통 전
토평동,토평마을 e편한세상,84.599,52000,2001,2017-05-29,9,장자호수공원역,개통 전
토평동,토평마을 e편한세상,84.599,50500,2001,2017-05-22,12,장자호수공원역,개통 전
인창동,정은스카이빌,84.7106,32800,2008,2017-05-19,2,장자호수공원역,개통 전
인창동,정은스카이빌,84.9196,33150,2008,2017-05-16,7,장자호수공원역,개통 전
인창동,주공4-2,59.56,28000,1996,2017-05-15,14,장자호수공원역,개통 전
교문동,구리(한양),84.9,42500,1994,2017-05-16,8,장자호수공원역,개통 전
인창동,주공4-1,58.14,28100,1996,2017-05-10,9,장자호수공원역,개통 전
토평동,한일,59.784,39000,2001,2017-05-15,17,장자호수공원역,개통 전
인창동,다우림,84.9324,28800,2006,2017-05-11,11,장자호수공원역,개통 전
인창동,원일아름,84.75,33500,1998,2017-05-12,14,장자호수공원역,개통 전
인창동,주공1,59.56,29400,1996,2017-05-12,15,장자호수공원역,개통 전
수택동,남양아이좋은집,80.1096,34900,2004,2017-05-20,13,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,40400,2001,2017-05-04,24,장자호수공원역,개통 전
교문동,구리두산,59.99,30000,1991,2017-05-13,5,장자호수공원역,개통 전
수택동,엘지원앙,52.08,30000,1995,2017-05-04,10,장자호수공원역,개통 전
토평동,에스케이신일,84.7406,35800,2001,2017-05-30,6,장자호수공원역,개통 전
교문동,하나(한성)아파트,101.826,44000,1994,2017-05-16,5,장자호수공원역,개통 전
수택동,엘지원앙,49.83,28500,1995,2017-05-25,14,장자호수공원역,개통 전
토평동,삼성,100.42,54000,2001,2017-05-23,17,장자호수공원역,개통 전
인창동,동원베네스트,84.98,36000,2004,2017-05-02,14,장자호수공원역,개통 전
토평동,우남,59.6514,29000,2000,2017-05-17,11,장자호수공원역,개통 전
수택동,엘지원앙,52.08,28750,1995,2017-05-02,9,장자호수공원역,개통 전
수택동,남양아이좋은집,59.9943,30500,2004,2017-05-24,3,장자호수공원역,개통 전
교문동,교문(대우),84.696,44500,1994,2017-05-09,13,장자호수공원역,개통 전
인창동,주공6,58.14,32500,1996,2017-05-31,14,장자호수공원역,개통 전
인창동,한진,59.937,24000,2002,2017-05-08,2,장자호수공원역,개통 전
인창동,성원,84.99,38300,2000,2017-05-10,20,장자호수공원역,개통 전
인창동,인창2차e-편한세상,114.829,58000,2006,2017-05-31,19,장자호수공원역,개통 전
인창동,아름마을일신,60.0,28800,1999,2017-05-13,1,장자호수공원역,개통 전
인창동,주공1,59.76,28700,1996,2017-05-05,2,장자호수공원역,개통 전
토평동,토평마을 e편한세상,84.599,53200,2001,2017-05-22,12,장자호수공원역,개통 전
수택동,하이스트빌,42.72,16450,2008,2017-05-02,4,장자호수공원역,개통 전
교문동,교문동금호어울림,84.962,38300,2009,2017-05-27,10,장자호수공원역,개통 전
토평동,상록,84.404,47400,2002,2017-05-11,13,장자호수공원역,개통 전
인창동,동원베네스트,59.81,30600,2004,2017-05-06,6,장자호수공원역,개통 전
수택동,영풍마드레빌1차,84.96,38500,2003,2017-05-29,14,장자호수공원역,개통 전
교문동,구리두산,59.99,32000,1991,2017-05-20,4,장자호수공원역,개통 전
수택동,우림,84.93,30200,1999,2017-05-06,8,장자호수공원역,개통 전
인창동,삼환,124.47,35000,1996,2017-05-11,7,장자호수공원역,개통 전
교문동,아차산어울림아파트,84.8549,39500,2010,2017-05-15,1,장자호수공원역,개통 전
수택동,토평주공,59.92,31600,2002,2017-05-12,3,장자호수공원역,개통 전
인창동,주공6,58.14,31600,1996,2017-05-20,9,장자호수공원역,개통 전
수택동,우림,84.96,31900,1999,2017-05-03,12,장자호수공원역,개통 전
토평동,에스케이신일,84.7406,36500,2001,2017-05-15,18,장자호수공원역,개통 전
교문동,구리두산,59.99,32900,1991,2017-05-18,2,장자호수공원역,개통 전
교문동,한성,84.99,40700,1990,2017-05-08,3,장자호수공원역,개통 전
인창동,삼환,99.97,45500,1996,2017-05-13,8,장자호수공원역,개통 전
인창동,주공4-2,59.98,30000,1996,2017-05-13,5,장자호수공원역,개통 전
인창동,아름마을엘지,121.74,37700,1999,2017-05-29,6,장자호수공원역,개통 전
인창동,더샵그린포레1단지,84.97,46800,2015,2017-05-01,6,장자호수공원역,개통 전
수택동,엘지원앙,49.83,28300,1995,2017-05-01,8,장자호수공원역,개통 전
